Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
100,1,0.1372,0.0001862049102783203,0.6225240230560303
100,1,0.1,0.00013399124145507812,0.3876969814300537
100,1,0.1184,0.00013113021850585938,0.771716833114624
100,1,0.1141,0.00015497207641601562,0.707939863204956
100,1,0.131,0.0001399517059326172,0.6116578578948975
100,1,0.0972,0.0001418590545654297,0.6964890956878662
100,1,0.1233,0.0001690387725830078,0.6473350524902344
100,1,0.0816,0.0001399517059326172,0.7503910064697266
100,1,0.1406,0.00013589859008789062,0.68973708152771
100,1,0.1299,0.0003039836883544922,0.7363297939300537
100,10,0.1477,0.0007290840148925781,1.2080230712890625
100,10,0.1172,0.0008552074432373047,1.808133840560913
100,10,0.1396,0.0008118152618408203,1.5414109230041504
100,10,0.1287,0.0008900165557861328,1.5747370719909668
100,10,0.1078,0.0008070468902587891,1.7785999774932861
100,10,0.1786,0.0007839202880859375,1.5791430473327637
100,10,0.1726,0.0007991790771484375,1.6845450401306152
100,10,0.1334,0.0007760524749755859,1.6966049671173096
100,10,0.1234,0.0008270740509033203,1.3650529384613037
100,10,0.1103,0.0009999275207519531,1.6910240650177002
100,100,0.1624,0.0182340145111084,2.194064140319824
100,100,0.1768,0.021785974502563477,4.652492046356201
100,100,0.1886,0.018841028213500977,3.6572160720825195
100,100,0.1724,0.021853923797607422,4.38351583480835
100,100,0.1532,0.020864009857177734,5.015989065170288
100,100,0.1678,0.020817041397094727,4.348880052566528
100,100,0.1765,0.021134138107299805,5.082482099533081
100,100,0.1933,0.02182793617248535,4.953829050064087
100,100,0.1531,0.023754119873046875,4.6043219566345215
100,100,0.1749,0.025416135787963867,6.197748899459839
100,1000,0.2087,0.5217931270599365,10.54486894607544
100,1000,0.2189,0.6017799377441406,14.051695823669434
100,1000,0.2092,0.4960050582885742,11.185765981674194
100,1000,0.2095,0.49310994148254395,11.211702823638916
100,1000,0.2178,0.5238509178161621,11.367753028869629
100,1000,0.2074,0.5545220375061035,12.46042799949646
100,1000,0.2112,0.411423921585083,8.903139114379883
100,1000,0.2123,0.6138620376586914,15.03032898902893
100,1000,0.1992,0.6901330947875977,15.869817972183228
100,1000,0.2164,0.4838380813598633,11.932011127471924
100,5000,0.2287,3.2075390815734863,12.489394903182983
100,5000,0.2331,5.039664030075073,22.672430992126465
100,5000,0.2286,4.876855134963989,21.583812952041626
100,5000,0.2301,5.061898946762085,22.018335103988647
100,5000,0.2276,5.851277828216553,25.373136043548584
100,5000,0.2354,7.566850900650024,30.92968487739563
100,5000,0.2188,4.825163125991821,20.407578945159912
100,5000,0.2272,4.396152973175049,19.18245005607605
100,5000,0.2358,4.14591121673584,17.432419061660767
100,5000,0.2271,6.794495105743408,28.266297101974487
100,10000,0.2334,15.742115020751953,34.64306306838989
100,10000,0.2441,11.416200160980225,23.90313196182251
100,10000,0.2339,11.503620862960815,25.39600706100464
100,10000,0.2443,9.578604936599731,19.969488859176636
100,10000,0.2426,11.988059043884277,26.472527027130127
100,10000,0.2414,12.637298107147217,26.471738815307617
100,10000,0.2408,12.072338104248047,25.210238218307495
100,10000,0.2448,12.057023048400879,26.1232430934906
100,10000,0.2441,7.9495909214019775,17.501840114593506
100,10000,0.2493,18.59459686279297,36.01515793800354
100,20000,0.2481,38.49273896217346,38.50464606285095
100,20000,0.2603,27.920724153518677,28.968866109848022
100,20000,0.2519,31.28768801689148,33.77762007713318
100,20000,0.2583,29.643693208694458,30.153794050216675
100,20000,0.2573,38.39206790924072,36.539819955825806
100,20000,0.2458,21.033632040023804,22.48797297477722
100,20000,0.2501,33.289068937301636,33.48412895202637
100,20000,0.2552,32.21511197090149,30.136110067367554
100,20000,0.2551,24.731910943984985,26.46639585494995
100,20000,0.2508,30.329257011413574,30.324952125549316
100,30000,0.2701,62.089537143707275,40.44592308998108
100,30000,0.2683,49.731417179107666,32.83736991882324
100,30000,0.2525,56.82008910179138,39.209882974624634
100,30000,0.2673,45.53183698654175,30.817457914352417
100,30000,0.2602,51.197582960128784,34.582512855529785
100,30000,0.2578,49.28088593482971,33.380321979522705
100,30000,0.2672,54.61171102523804,35.015907764434814
100,30000,0.2722,61.92961597442627,40.28158092498779
100,30000,0.2648,63.71751403808594,41.273422956466675
100,30000,0.2559,47.48940706253052,31.74660301208496
100,40000,0.2768,103.77638292312622,49.92085099220276
100,40000,0.2669,64.82620000839233,32.1350531578064
100,40000,0.2748,82.7862811088562,36.99341797828674
100,40000,0.2742,94.34254503250122,42.395390033721924
100,40000,0.2618,79.89800906181335,38.732579946517944
100,40000,0.268,84.0281879901886,39.392837047576904
100,40000,0.277,69.62437796592712,33.258524894714355
100,40000,0.2705,100.07024812698364,44.23138904571533
100,40000,0.2717,62.15480613708496,30.305942058563232
100,40000,0.2656,66.4224500656128,32.37928104400635
100,50000,0.2786,125.90367102622986,44.22633910179138
100,50000,0.2758,81.0690381526947,30.715383052825928
100,50000,0.2724,92.93620085716248,33.35038185119629
100,50000,0.2701,79.56981182098389,31.51162099838257
100,50000,0.2839,83.46462488174438,35.287025928497314
100,50000,0.2809,128.60900282859802,49.88683605194092
100,50000,0.274,86.36908602714539,35.21944713592529
100,50000,0.2747,89.43852519989014,36.38210415840149
100,50000,0.2723,91.28349304199219,36.61371397972107
100,50000,0.2802,128.62318801879883,47.780993938446045
